Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Milliseconds,Seconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw)
2023/8/19 (Saturday) 13:36:25,599,59,8,LED ON,255,0,28,28250,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,3,0
2023/8/19 (Saturday) 13:36:26,599,59,8,LED ON,255,0,28,28913,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:26,599,59,8,LED ON,255,0,29,29573,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,3,0
2023/8/19 (Saturday) 13:36:27,599,59,8,LED ON,255,0,30,30235,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:28,599,59,8,LED ON,255,0,30,30900,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:28,599,59,8,LED ON,255,0,31,31562,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,3,0
2023/8/19 (Saturday) 13:36:29,599,59,8,LED ON,255,0,32,32222,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:30,599,59,8,LED ON,255,0,32,32886,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:30,599,59,8,LED ON,255,0,33,33547,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:31,599,59,8,LED ON,255,0,34,34211,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:32,599,59,8,LED ON,255,0,34,34873,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
